Name,Profile,Memory_footprint,SM_usage,Duration
Elementwise,-1,0,2,2208
IndexSelect,-1,0,56,6208
IndexSelect,-1,0,56,4512
Elementwise,-1,0,56,4385
LayerNorm,-1,0,56,6144
GEMM,1,0,16,8895
GEMM,1,0,16,8448
GEMM,1,0,16,8416
GEMM,1,0,4,9217
Elementwise,-1,0,56,2848
Elementwise,-1,0,32,2944
Memcpy,0,0,1,2944
Elementwise,-1,0,56,4224
Softmax,-1,0,56,5632
GEMM,1,0,4,35873
GEMM,1,0,16,8480
GEMM,1,0,16,8448
GEMM,1,0,16,8416
GEMM,1,0,4,9216
Elementwise,-1,0,56,2752
Elementwise,-1,0,32,2784
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4160
Softmax,-1,0,56,5600
GEMM,1,0,4,35872
GEMM,1,0,16,8416
GEMM,1,0,16,8416
GEMM,1,0,16,8352
GEMM,1,0,4,9217
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2848
Memcpy,0,0,1,2816
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5600
GEMM,1,0,4,35904
GEMM,1,0,16,8384
GEMM,1,0,16,8448
GEMM,1,0,16,8384
GEMM,1,0,4,9216
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2880
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4096
Softmax,-1,0,56,5600
GEMM,1,0,4,35872
GEMM,1,0,16,8608
GEMM,1,0,16,8384
GEMM,1,0,16,8416
GEMM,1,0,4,9215
Elementwise,-1,0,56,2912
Elementwise,-1,0,32,2784
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4096
Softmax,-1,0,56,5600
GEMM,1,0,4,35872
GEMM,1,0,16,8384
GEMM,1,0,16,8416
GEMM,1,0,16,8416
GEMM,1,0,4,9217
Elementwise,-1,0,56,2784
Elementwise,-1,0,32,2784
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5600
GEMM,1,0,4,35872
GEMM,1,0,16,8480
GEMM,1,0,16,8416
GEMM,1,0,16,8416
GEMM,1,0,4,9247
Elementwise,-1,0,56,2753
Elementwise,-1,0,32,2816
Memcpy,0,0,1,2880
Elementwise,-1,0,56,4096
Softmax,-1,0,56,5600
GEMM,1,0,4,35840
GEMM,1,0,16,8384
GEMM,1,0,16,8448
GEMM,1,0,16,8512
GEMM,1,0,4,9216
Elementwise,-1,0,56,2784
Elementwise,-1,0,32,2753
Memcpy,0,0,1,2848
Elementwise,-1,0,56,4160
Softmax,-1,0,56,5568
GEMM,1,0,4,35840
GEMM,1,0,16,8480
GEMM,1,0,16,8416
GEMM,1,0,16,8384
GEMM,1,0,4,9216
Elementwise,-1,0,56,2880
Elementwise,-1,0,32,2817
Memcpy,0,0,1,2879
Elementwise,-1,0,56,4095
Softmax,-1,0,56,5599
GEMM,1,0,4,35872
GEMM,1,0,16,8416
GEMM,1,0,16,8416
GEMM,1,0,16,8352
GEMM,1,0,4,9216
Elementwise,-1,0,56,2848
Elementwise,-1,0,32,2944
Memcpy,0,0,1,2944
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5600
GEMM,1,0,4,35840
GEMM,1,0,16,8608
GEMM,1,0,16,8417
GEMM,1,0,16,8415
GEMM,1,0,4,9216
Elementwise,-1,0,56,2784
Elementwise,-1,0,32,2848
Memcpy,0,0,1,2944
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5600
GEMM,1,0,4,35872
GEMM,1,0,16,8512
GEMM,1,0,16,8416
GEMM,1,0,16,8352
GEMM,1,0,4,9248
Elementwise,-1,0,56,2784
Elementwise,-1,0,32,2752
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4095
Softmax,-1,0,56,5600
GEMM,1,0,4,35873
GEMM,1,0,16,8544
GEMM,1,0,16,8416
GEMM,1,0,16,8416
GEMM,1,0,4,9216
Elementwise,-1,0,56,2879
Elementwise,-1,0,32,2849
Memcpy,0,0,1,2849
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5600
GEMM,1,0,4,35872
GEMM,1,0,16,8448
GEMM,1,0,16,8544
GEMM,1,0,16,8448
GEMM,1,0,4,9247
Elementwise,-1,0,56,2880
Elementwise,-1,0,32,2848
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4096
Softmax,-1,0,56,5600
GEMM,1,0,4,35872
GEMM,1,0,16,8352
GEMM,1,0,16,8415
GEMM,1,0,16,8385
GEMM,1,0,4,9184
Elementwise,-1,0,56,2784
Elementwise,-1,0,32,2752
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4096
Softmax,-1,0,56,5600
GEMM,1,0,4,35873
GEMM,1,0,16,8512
GEMM,1,0,16,8416
GEMM,1,0,16,8384
GEMM,1,0,4,9216
Elementwise,-1,0,56,2784
Elementwise,-1,0,32,2816
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5568
GEMM,1,0,4,35904
,-1,0,56,6176
GEMM,1,0,32,13632
Elementwise,-1,0,56,3073
LayerNorm,-1,0,56,6080
GEMM,1,0,56,24864
Elementwise,-1,0,56,4800
GEMM,1,0,32,27904
Elementwise,-1,0,56,3105
LayerNorm,-1,0,56,6112
GEMM,1,0,16,9216
GEMM,1,0,16,8352
GEMM,1,0,16,8448
GEMM,1,0,4,9120
Elementwise,-1,0,56,2944
Elementwise,-1,0,32,2848
Memcpy,0,0,1,2911
Elementwise,-1,0,56,4191
Softmax,-1,0,56,5696
GEMM,1,0,4,36032
GEMM,1,0,16,8448
GEMM,1,0,16,8384
GEMM,1,0,16,8416
GEMM,1,0,4,9152
Elementwise,-1,0,56,2847
Elementwise,-1,0,32,2784
Memcpy,0,0,1,2944
Elementwise,-1,0,56,4097
Softmax,-1,0,56,5632
GEMM,1,0,4,36032
GEMM,1,0,16,8416
GEMM,1,0,16,8416
GEMM,1,0,16,8417
GEMM,1,0,4,9152
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2816
Memcpy,0,0,1,2944
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5632
GEMM,1,0,4,36000
GEMM,1,0,16,8415
GEMM,1,0,16,8352
GEMM,1,0,16,8416
GEMM,1,0,4,9152
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2816
Memcpy,0,0,1,2912
Elementwise,-1,0,56,4192
Softmax,-1,0,56,5633
GEMM,1,0,4,36033
GEMM,1,0,16,8416
GEMM,1,0,16,8544
GEMM,1,0,16,8576
GEMM,1,0,4,9120
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2720
Memcpy,0,0,1,2945
Elementwise,-1,0,56,4097
Softmax,-1,0,56,5632
GEMM,1,0,4,36032
GEMM,1,0,16,8448
GEMM,1,0,16,8480
GEMM,1,0,16,8416
GEMM,1,0,4,9153
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2752
Memcpy,0,0,1,2944
Elementwise,-1,0,56,4096
Softmax,-1,0,56,5632
GEMM,1,0,4,36032
GEMM,1,0,16,8448
GEMM,1,0,16,8383
GEMM,1,0,16,8415
GEMM,1,0,4,9152
Elementwise,-1,0,56,2848
Elementwise,-1,0,32,2752
Memcpy,0,0,1,2944
Elementwise,-1,0,56,4096
Softmax,-1,0,56,5632
GEMM,1,0,4,36001
GEMM,1,0,16,8448
GEMM,1,0,16,8384
GEMM,1,0,16,8416
GEMM,1,0,4,9152
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2720
Memcpy,0,0,1,2880
Elementwise,-1,0,56,4128
Softmax,-1,0,56,5600
GEMM,1,0,4,36032
GEMM,1,0,16,8448
GEMM,1,0,16,8384
GEMM,1,0,16,8416
GEMM,1,0,4,9152
Elementwise,-1,0,56,2848
Elementwise,-1,0,32,2817
Memcpy,0,0,1,2943
Elementwise,-1,0,56,4160
Softmax,-1,0,56,5633
GEMM,1,0,4,36000
GEMM,1,0,16,8448
GEMM,1,0,16,8416
GEMM,1,0,16,8415
GEMM,1,0,4,9152
Elementwise,-1,0,56,2816
Elementwise,-1,0,32,2752
