Name,Profile,Memory_footprint,SM_usage,Duration
Elementwise,-1,0,8,3840
Elementwise,-1,0,8,2816
IndexSelect,-1,0,56,12224
IndexSelect,-1,0,56,7297
Elementwise,-1,0,56,7264
LayerNorm,-1,0,56,19295
GEMM,1,0,56,13791
GEMM,1,0,56,13375
GEMM,1,0,56,13409
GEMM,1,0,56,17152
Elementwise,-1,0,56,11296
Elementwise,-1,0,56,5664
Elementwise,-1,0,56,14688
Softmax,-1,0,56,17280
GEMM,1,0,16,151808
GEMM,1,0,56,14465
GEMM,1,0,56,13408
GEMM,1,0,56,13343
GEMM,1,0,56,17120
Elementwise,-1,0,56,10848
Elementwise,-1,0,56,4928
Elementwise,-1,0,56,14591
Softmax,-1,0,56,17217
GEMM,1,0,16,151840
GEMM,1,0,56,14049
GEMM,1,0,56,13344
GEMM,1,0,56,13376
GEMM,1,0,56,17185
Elementwise,-1,0,56,10720
Elementwise,-1,0,56,4960
Elementwise,-1,0,56,14656
Softmax,-1,0,56,17152
GEMM,1,0,16,151905
GEMM,1,0,56,13504
GEMM,1,0,56,13376
GEMM,1,0,56,13344
GEMM,1,0,56,17216
Elementwise,-1,0,56,10880
Elementwise,-1,0,56,5056
Elementwise,-1,0,56,14720
Softmax,-1,0,56,17344
GEMM,1,0,16,151905
GEMM,1,0,56,13920
GEMM,1,0,56,13440
GEMM,1,0,56,13312
GEMM,1,0,56,17184
Elementwise,-1,0,56,11296
Elementwise,-1,0,56,4928
Elementwise,-1,0,56,14784
Softmax,-1,0,56,17153
GEMM,1,0,16,151808
GEMM,1,0,56,13536
GEMM,1,0,56,13440
GEMM,1,0,56,13536
GEMM,1,0,56,17152
Elementwise,-1,0,56,10783
Elementwise,-1,0,56,5025
Elementwise,-1,0,56,14816
Softmax,-1,0,56,17056
GEMM,1,0,16,151841
GEMM,1,0,56,13505
GEMM,1,0,56,13408
GEMM,1,0,56,13311
GEMM,1,0,56,17152
Elementwise,-1,0,56,11072
Elementwise,-1,0,56,4928
Elementwise,-1,0,56,14688
Softmax,-1,0,56,17248
GEMM,1,0,16,151840
GEMM,1,0,56,13440
GEMM,1,0,56,13408
GEMM,1,0,56,13312
GEMM,1,0,56,17088
Elementwise,-1,0,56,11488
Elementwise,-1,0,56,4928
Elementwise,-1,0,56,15008
Softmax,-1,0,56,17184
GEMM,1,0,16,151905
GEMM,1,0,56,13440
GEMM,1,0,56,13440
GEMM,1,0,56,13312
GEMM,1,0,56,17088
Elementwise,-1,0,56,11040
Elementwise,-1,0,56,4896
Elementwise,-1,0,56,14560
Softmax,-1,0,56,17281
GEMM,1,0,16,151840
GEMM,1,0,56,13536
GEMM,1,0,56,13440
GEMM,1,0,56,13376
GEMM,1,0,56,17120
Elementwise,-1,0,56,10752
Elementwise,-1,0,56,4928
Elementwise,-1,0,56,14657
Softmax,-1,0,56,17280
GEMM,1,0,16,151872
GEMM,1,0,56,13537
GEMM,1,0,56,13472
GEMM,1,0,56,13343
GEMM,1,0,56,17088
Elementwise,-1,0,56,11328
Elementwise,-1,0,56,4928
Elementwise,-1,0,56,14720
Softmax,-1,0,56,17280
GEMM,1,0,16,151969
GEMM,1,0,56,13505
GEMM,1,0,56,13440
GEMM,1,0,56,13312
