Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
6326867534,8512,144,,,,,,,,,,0.131,15398.470,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327128847,14112,157,,,,,,,,,,0.262,18575.786,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327239279,1696,170,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327281071,1664,183,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327319471,1633,196,,,,,,,,,,0.004,2508.263,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327468016,47616,209,,,,,,,,,,1.049,22021.145,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327577649,1664,222,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327620337,1664,235,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6327657329,1664,248,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328405235,47744,265,,,,,,,,,,1.049,21962.424,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328538484,1632,278,,,,,,,,,,0.004,2509.804,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328586036,1664,291,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328624052,1664,304,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328771477,47744,317,,,,,,,,,,1.049,21962.424,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328867957,1632,330,,,,,,,,,,0.004,2509.804,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328907765,1664,343,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6328945110,1631,356,,,,,,,,,,0.004,2511.340,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6335938286,47649,373,,,,,,,,,,1.049,22005.416,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6336057679,1664,386,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6336101551,1664,399,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6336138639,1632,412,,,,,,,,,,0.004,2509.804,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6336304048,47968,425,,,,,,,,,,1.049,21859.664,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6336399280,1632,438,,,,,,,,,,0.004,2509.804,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6336438992,1728,451,,,,,,,,,,0.004,2370.367,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6336475441,1727,464,,,,,,,,,,0.004,2371.740,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6339609148,47584,481,,,,,,,,,,1.049,22035.825,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6339722620,1728,494,,,,,,,,,,0.004,2370.367,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6339766300,1696,507,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6339803260,1696,520,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6339946589,47904,533,,,,,,,,,,1.049,21889.024,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6340039325,1696,546,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6340078973,1696,559,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6340116957,1696,572,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6340745248,47776,589,,,,,,,,,,1.049,21947.744,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6340855552,1728,602,,,,,,,,,,0.004,2370.367,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6340897665,1696,615,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6340933889,1696,628,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6341075489,47904,641,,,,,,,,,,1.049,21889.024,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6341177185,1696,654,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6341215874,1696,667,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6341252449,1696,680,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342249189,47808,697,,,,,,,,,,1.049,21933.064,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342362054,1696,710,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342403974,1696,723,,,,,,,,,,0.004,2415.092,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342440838,1664,736,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342584486,47969,749,,,,,,,,,,1.049,21858.615,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342677447,1664,762,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342715527,1632,775,,,,,,,,,,0.004,2509.804,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6342751015,1664,788,,,,,,,,,,0.004,2461.536,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
6343014568,47712,805,,,,,,,,,,1.049,21977.104,Pageable,Device,NVIDIA A30 (0),1,7,[CUDA memcpy Host-to-Device]
